Country,Year,Life Expectancy (years),GDP (billions)
Chile,2000,77.3,77.9
Chile,2001,77.3,71
Chile,2002,77.8,69.7
Chile,2003,77.9,75.6
Chile,2004,78,99.2
Chile,2005,78.4,123
Chile,2006,78.9,154.8
Chile,2007,78.9,173.6
Chile,2008,79.6,179.6
Chile,2009,79.3,172.4
Chile,2010,79.1,218.5
Chile,2011,79.8,252.3
Chile,2012,79.9,267.1
Chile,2013,80.1,278.4
Chile,2014,80.3,261
Chile,2015,80.5,242.5
China,2000,71.7,1211.4
China,2001,72.2,1339.4
China,2002,72.7,1470.6
China,2003,73.1,1660.3
China,2004,73.5,1955.4
China,2005,73.9,2286
China,2006,74.2,2752.1
China,2007,74.4,3552.2
China,2008,74.5,4598.2
China,2009,74.9,5110
China,2010,75,6100.6
China,2011,75.2,7572.6
China,2012,75.4,8560.6
China,2013,75.6,9607.2
China,2014,75.8,10482.4
China,2015,76.1,11064.7
Germany,2000,78,1950
Germany,2001,78.3,1950.7
Germany,2002,78.4,2079.1
Germany,2003,78.5,2505.7
Germany,2004,79.1,2819.3
Germany,2005,79.2,2861.4
Germany,2006,79.6,3002.5
Germany,2007,79.8,3440
Germany,2008,79.9,3752.4
Germany,2009,80,3418
Germany,2010,80.1,3417.1
Germany,2011,80.5,3757.7
Germany,2012,80.6,3544
Germany,2013,80.6,3752.5
Germany,2014,80.9,3890.6
Germany,2015,81,3375.6
Mexico,2000,74.8,683.6
Mexico,2001,75,724.7
Mexico,2002,75,741.6
Mexico,2003,75,713.3
Mexico,2004,75.4,770.3
Mexico,2005,75.3,866.3
Mexico,2006,75.8,965.3
Mexico,2007,76,1043.5
Mexico,2008,75.6,1101.3
Mexico,2009,75.7,894.9
Mexico,2010,75.6,1051.1
Mexico,2011,76.1,1171.2
Mexico,2012,76.3,1186.6
Mexico,2013,76.6,1262
Mexico,2014,76.6,1298.5
Mexico,2015,76.7,1152.3
USA,2000,76.8,10300
USA,2001,76.9,10600
USA,2002,77,11000
USA,2003,77.2,11500
USA,2004,77.5,12300
USA,2005,77.5,13100
USA,2006,77.8,13900
USA,2007,78.1,14500
USA,2008,78.2,14700
USA,2009,78.5,14400
USA,2010,78.7,15000
USA,2011,78.7,15500
USA,2012,78.8,16200
USA,2013,78.9,16700
USA,2014,79.1,17400
USA,2015,79.3,18100
Zimbabwe,2000,46,6.7
Zimbabwe,2001,45.3,6.8
Zimbabwe,2002,44.8,6.3
Zimbabwe,2003,44.5,5.7
Zimbabwe,2004,44.3,5.8
Zimbabwe,2005,44.6,5.8
Zimbabwe,2006,45.4,5.4
Zimbabwe,2007,46.6,5.3
Zimbabwe,2008,48.2,4.4
Zimbabwe,2009,50,8.6
Zimbabwe,2010,52.4,10.1
Zimbabwe,2011,54.9,12.1
Zimbabwe,2012,56.6,14.2
Zimbabwe,2013,58,15.5
Zimbabwe,2014,59.2,15.9
Zimbabwe,2015,60.7,16.3
